项目名称（英文）,项目名称（中文）,所在岛屿,纬度,经度,来源,
Faleolo International Airport Terminal Building Upgrade Project,法莱奥洛国际机场升级改造项目,Upolu,-13.4948,-172.0030 ,Wikimapia (Faleolo International Airport),阿皮亚的西部40公里，萨摩亚 Upolu 岛上的村庄法雷奥罗（Faleolo）
Matagialalua Friendship Park,中萨友谊公园和文化艺术中心,Upolu,-13.829,-171.7665,Google Maps,马利法（Malifa） 位于马鲁阿福（?Maluafou?）村附近，靠近莱菲菲（?Leifiifi）。
Apia Port enhancement project,阿皮亚港升级项目,Upolu,-13.8265,-171.7612,Google Maps,乌波卢（UPOLU）岛北海岸中部的一个小海湾内
Apia Park Sports Complex,阿皮亚公园体育设施修缮扩建项目,Upolu,-13.8366,-171.7517,Google Maps,
Loto Taumafai Society National Disability Centre,萨摩亚残疾人培训中心,Upolu,-13.8274,-171.8135,Google Maps,西塞加村（siusega）
Vaitele Uta Primary School,瓦伊特莱小学,Upolu,-13.8355,-171.8068,Google Maps,谷歌地图上称已永久停业，可酌情写
Samoan Government Building,萨摩亚政府办公大楼,Upolu,-13.8294,-171.7665,Google Maps,"Government Building, Beach Rd, Apia, _摩"
Project of Samoa Headquarters of Ministry of Health?,卫生部办公楼和国家医疗中心（一期）项目,Upolu,-13.8452,-171.7635,Google Maps,"Ififi St, Apia, _摩"
??Iva Primary School??,伊瓦小学扩建项目,Savaii,-13.7108,-172.2087,Google Maps,
National University of Samoa - Marine Campus,萨摩亚国立大学海洋学院,Upolu,-13.8164,-171.7804,Google Maps,
Samoa-China Agriculture Technology Assistance Project (SCATAP),萨摩亚-中国农业技术援助项目,Upolu,-13.8342,-171.8395,Google Maps,"Talimatau Rd, Vaitele, _摩"
,,,,,,
,,,,,,
